City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Sokolo,ML,14.7328,-6.1219,88.03,7,0,13.53,clear sky
326,Yumbe,UG,3.4651,31.2469,89.69,19,85,6.91,overcast clouds
327,Kiknur,RU,57.3034,47.2011,27.88,96,100,9.69,light snow
328,Carutapera,BR,-1.195,-46.02,85.84,60,44,7.36,scattered clouds
329,Urumqi,CN,43.801,87.6005,11.35,85,40,4.47,mist
330,Acari,PE,-15.4311,-74.6158,80.24,60,60,10.18,broken clouds
331,Crib Point,AU,-38.35,145.2,64.09,88,10,14.09,clear sky
332,Beroroha,MG,-21.6667,45.1667,83.64,63,57,4.83,light rain
333,Port Elizabeth,ZA,-33.918,25.5701,73.69,64,0,8.05,clear sky
334,Asau,RO,46.4333,26.4,43.72,87,5,5.7,clear sky
335,Sao Filipe,CV,14.8961,-24.4956,82.04,45,96,15.5,overcast clouds
336,Pangnirtung,CA,66.1451,-65.7125,3.2,55,100,10.36,overcast clouds
337,Menongue,AO,-14.6585,17.691,73.0,66,99,2.91,overcast clouds
338,Kalabo,ZM,-14.97,22.6814,75.92,76,100,2.64,light rain
339,Aswan,EG,24.0934,32.907,62.65,27,0,10.89,clear sky
340,Kashi,CN,39.4547,75.9797,36.61,32,40,6.71,scattered clouds
341,Biak,ID,-0.9131,122.8766,76.55,82,96,3.83,overcast clouds
342,Ghanzi,BW,-21.5667,21.7833,77.41,57,84,9.15,light rain
343,Barra Do Garcas,BR,-15.89,-52.2567,76.14,87,100,3.24,overcast clouds
344,Luanda,AO,-8.8368,13.2343,86.0,58,20,9.22,few clouds
345,Najran,SA,17.4924,44.1277,77.65,16,10,9.22,clear sky
346,Villanueva De La Serena,ES,38.9766,-5.7974,66.83,37,6,3.6,clear sky
